instancia,tipo_sede,alcaldia,sede,calle,numero_exterior,numero_interior,colonia,colonia_servicio_postal_mexicano,codigo_postal_servicio_postal_mexicano,referencia_de_ubicacion,latitud,longitud,dias_atencion,horario_ini,horario_fin,telefono_uno,telefono_dos,telefono_tres,telefono_cuatro
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,BENITO JUAREZ,Coordinación Territorial BJ-3 y Bj-4,Avenida Obrero Mundial esquina con Cuauhtémoc,S/N,S/N,Navarte,Narvarte Poniente,03020,Frente al Centro Comercial Parque Delta,19.401511,-99.155388,Lunes a Domingo,00:00:00,23:59:00,52009626,52009617,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,MIGUEL HIDALGO,Agencia del Ministerio Público Especializada en Atención a Turistas Nacionales Y Extranjeros,Avenida Presidente Masaryk,172,S/N,Bosques De Chapultepec,Bosque De Chapultepec I Sección,11580,Dentro de la Secretaría de Turismo,19.431327,-99.188466,Lunes a Viernes,09:00:00,17:00:00,55317449,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,IZTAPALAPA,Fiscalía de Investigación de Delitos Sexuales FDS-5,"Avenida Telecomunicaciones, casi esquina con calle Tres",S/N,S/N,Tepalcates,Tepalcates,09210,Cabeza de Juárez,19.381944,-99.041012,Lunes a Domingo,00:00:00,23:59:00,53455657,53455656,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,ALVARO OBREGON,Fiscalía de Investigación de Delitos Sexuales FDS-2,"Avenida Toluca, esquina Avenida México",S/N,S/N,Progreso Tizapan,Progreso Tizapan,01080,Al lado de la Coordinación territorial AO-3,19.339827,-99.201533,Lunes a Domingo,00:00:00,23:59:00,52009568,52009579,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,IZTAPALAPA,Coordinación Territorial IZP-8,Avenida Zacatlán,S/N,S/N,Lomas De San Lorenzo,Lomas De San Lorenzo,09780,Entre Av. Tláhuac y Av. cempasúchil,19.312856,-99.064556,Lunes a Domingo,00:00:00,23:59:00,56455644,56455693,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,COORDINACIÓN TERRITORIAL,ALVARO OBREGON,Coordinación Territorial AO-1 y AO-2,Batallón de San Patricio esquina Escuadrón 201,S/N,S/N,Cristo Rey,Cristo Rey,01150,Esquina con Escuadron 201,19.389398,-99.200678,Lunes a Domingo,09:00:00,19:00:00,52009573,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,VENUSTIANO CARRANZA,Coordinación Territorial VC-2,Boulevard Puerto Aéreo esquina con Norte 13,S/N,S/N,Moctezuma 2da. Sección,Moctezuma 2a Sección,15530,Metro Boulevard Aeropuerto (Línea 1),19.425908,-99.093466,Lunes a Domingo,08:00:00,20:00:00,53455840,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,IZTAPALAPA,Coordinación Territorial IZP-6,Calle 3 y Avenida Telecomunicaciones,S/N,S/N,Tepalcates,Tepalcates,09210,"A un costado del Depósito de Vehículos ""E""",19.381824,-99.040859,Lunes a Domingo,00:00:00,23:59:00,56455633,56455639,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,CUAUHTEMOC,Coordinación Territorial CUH-8,Calle Chimalpopoca,100,S/N,Obrera,Obrera,06800,Cerca metro Isabel la Católica,19.422794,-99.137232,Lunes a Domingo,00:00:00,23:59:00,53468714,55783068,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Fiscalía Desconcentrada de Investigación en Agencias de Atención Especializadas,Calle Digna Ochoa,56,S/N,Doctores,Doctores,06720,Piso 3,19.424928,-99.147363,Lunes a Domingo,00:00:00,23:59:00,53455138,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Agencia del Ministerio Público Especializada en Atención a Personas Integrantes de la Comunidad LGBTTTI (Bunker),Calle Digna Ochoa,56,S/N,Doctores,Doctores,06720,NA,19.424788,-99.147363,Lunes a Domingo,00:00:00,23:59:00,53465219,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Agencia del Ministerio Público Especializada en Atención a Usuarios del Sistema de Corredores de Transporte Público de Pasajeros Metrobús,Calle Digna Ochoa,56,S/N,Doctores,Doctores,06720,NA,19.424694,-99.147554,Lunes a viernes,09:00:00,19:00:00,53465115,NA,NA,NA
